"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"FFPRBUS","194913","28.748176","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195013","32.562667","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195113","35.792151","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195213","34.976732","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195313","35.349336","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195413","33.76433","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195513","37.36368","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195613","39.771452","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195713","40.133484","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195813","37.216322","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","195913","39.045216","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196013","39.869117","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196113","40.307136","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196213","41.731885","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196313","44.037181","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196413","45.788951","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196513","47.234902","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196613","50.035367","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196713","52.597132","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196813","54.306187","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","196913","56.285569","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197013","59.186071","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197113","58.04156","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197213","58.937904","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197301","4.935444","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197302","4.73222","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197303","4.949805","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197304","4.719106","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197305","4.959906","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197306","4.718893","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197307","4.751184","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197308","5.044923","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197309","4.734325","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197310","5.001261","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197311","4.813377","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197312","4.88309","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197313","58.241491","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197401","4.96415","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197402","4.572698","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197403","4.884448","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197404","4.778158","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197405","4.969686","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197406","4.560035","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197407","4.719273","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197408","4.739199","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197409","4.617056","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197410","4.903137","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197411","4.184237","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197412","4.438649","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197413","56.330758","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197501","4.73472","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197502","4.38436","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197503","4.646714","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197504","4.536958","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197505","4.647588","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197506","4.556759","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197507","4.39945","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197508","4.521966","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197509","4.489492","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197510","4.703388","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197511","4.46486","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197512","4.64663","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197513","54.733273","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197601","4.597813","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197602","4.419626","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197603","4.756734","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197604","4.5463","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197605","4.625674","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197606","4.578689","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197607","4.317014","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197608","4.49077","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197609","4.53411","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197610","4.604193","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197611","4.550577","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197612","4.702057","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197613","54.722896","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197701","4.319848","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197702","4.255386","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197703","4.891736","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197704","4.600686","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197705","4.725836","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197706","4.648559","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197707","4.420615","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197708","4.61101","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197709","4.806414","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197710","4.873842","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197711","4.824784","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197712","4.125231","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197713","55.100782","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197801","3.919647","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197802","3.679389","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197803","4.356119","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197804","4.709545","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197805","4.962872","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197806","4.79991","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197807","4.636188","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197808","4.845446","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197809","4.567841","1","Total Fossil Fuels Production","Quadrillion Btu"
"FFPRBUS","197810","4.962741","1","Total Fossil Fuels Production","Quadrillion Btu"
